Page URL,Structured data,Field,Issue description,Discovered
https://www.caoptical.com/alberta-clear-prescription-sports-goggles-interchangeable-temple-arms-and-headband-soccer-basketball-baseball/,Merchant listing,inLanguage,The property inLanguage is not recognized by Schema.org vocabulary.,09 Mar 2026 (11:55 UTC)
https://www.caoptical.com/alberta-clear-prescription-sports-goggles-interchangeable-temple-arms-and-headband-soccer-basketball-baseball/,Product snippet,inLanguage,The property inLanguage is not recognized by Schema.org vocabulary.,09 Mar 2026 (11:55 UTC)
https://www.caoptical.com/alizee-gold-eyeglasses/,Product snippet,inLanguage,The property inLanguage is not recognized by Schema.org vocabulary.,09 Mar 2026 (11:55 UTC)
https://www.caoptical.com/alizee-gold-eyeglasses/,Merchant listing,inLanguage,The property inLanguage is not recognized by Schema.org vocabulary.,09 Mar 2026 (11:55 UTC)
https://www.caoptical.com/alizee-pink-eyeglasses/,Product snippet,inLanguage,The property inLanguage is not recognized by Schema.org vocabulary.,09 Mar 2026 (11:55 UTC)
https://www.caoptical.com/alizee-pink-eyeglasses/,Merchant listing,inLanguage,The property inLanguage is not recognized by Schema.org vocabulary.,09 Mar 2026 (11:55 UTC)
https://www.caoptical.com/amarillo-rx-safety-glasses/,Product snippet,inLanguage,The property inLanguage is not recognized by Schema.org vocabulary.,09 Mar 2026 (11:55 UTC)
https://www.caoptical.com/amarillo-rx-safety-glasses/,Merchant listing,inLanguage,The property inLanguage is not recognized by Schema.org vocabulary.,09 Mar 2026 (11:55 UTC)
https://www.caoptical.com/amarillo-rx-sports-glasses/,Merchant listing,inLanguage,The property inLanguage is not recognized by Schema.org vocabulary.,09 Mar 2026 (11:55 UTC)
https://www.caoptical.com/amarillo-rx-sports-glasses/,Product snippet,inLanguage,The property inLanguage is not recognized by Schema.org vocabulary.,09 Mar 2026 (11:55 UTC)
https://www.caoptical.com/amelia-black-prescription-sports-goggles-for-kids-bendable-impact-resistant-youth-soccer-football-basketball-baseball-glasses/,Product snippet,inLanguage,The property inLanguage is not recognized by Schema.org vocabulary.,09 Mar 2026 (11:55 UTC)
https://www.caoptical.com/amelia-black-prescription-sports-goggles-for-kids-bendable-impact-resistant-youth-soccer-football-basketball-baseball-glasses/,Merchant listing,inLanguage,The property inLanguage is not recognized by Schema.org vocabulary.,09 Mar 2026 (11:55 UTC)
https://www.caoptical.com/amelia-blue-prescription-sports-goggles-for-kids-bendable-impact-resistant-youth-soccer-football-basketball-baseball-glasses/,Merchant listing,inLanguage,The property inLanguage is not recognized by Schema.org vocabulary.,09 Mar 2026 (11:55 UTC)
https://www.caoptical.com/amelia-blue-prescription-sports-goggles-for-kids-bendable-impact-resistant-youth-soccer-football-basketball-baseball-glasses/,Product snippet,inLanguage,The property inLanguage is not recognized by Schema.org vocabulary.,09 Mar 2026 (11:55 UTC)
